chembl_id	smiles	mw	qed	logp	tpsa	hbd	hba	max_phase	mw_calc	logp_calc	qed_calc	bbb
CHEMBL579217	COc1cc2c(cc1OCCCF)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21	365.49	0.75		41.93	1	4	2.0	365.49	3.76	0.747	1
CHEMBL572284	COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO	402.45	0.55		112.27	3	7	3.0	402.45	2.15	0.551	0
CHEMBL1750	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F	303.68	0.65		119.31	3	8	4.0	303.68	-0.349	0.649	0
CHEMBL571209	Cn1cc(C[C@@H](N)C(=O)O)c2ccccc21	218.26	0.81		68.25	2	3	2.0	218.26	1.133	0.811	1
CHEMBL576127	O=C1NCC2(CCN(CCc3ccccc3)CC2)O1	260.34	0.90		41.57	1	3	4.0	260.34	1.803	0.901	1
CHEMBL1754	CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O	378.52	0.77		32.78	0	3	4.0	378.52	3.173	0.774	1
CHEMBL578211	CN1C(=O)CC[C@H]1c1cccnc1	176.22	0.65		33.20	0	2	2.0	176.22	1.375	0.647	1
CHEMBL567303	Cc1cc(NC(=O)NCCN2CCC(O)(Cc3ccccc3)CC2)c2ccccc2n1	418.54	0.57		77.49	3	4	2.0	418.54	3.734	0.57	1
CHEMBL571987	CCc1nn(CCO)c(CC)c1Oc1cc(C#N)cc(C#N)c1	310.36	0.88		94.86	1	6	2.0	310.36	2.536	0.884	0
CHEMBL1760	CC(C)(C)NCC(O)c1cc(O)cc(O)c1	225.29	0.63		72.72	4	4	4.0	225.29	1.519	0.629	0
CHEMBL584059	CNC[C@H](O)CC12CCC(c3ccccc31)c1ccccc12	293.41	0.91		32.26	2	2	2.0	293.41	3.182	0.907	1
CHEMBL1761	Cl.OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1	323.91	0.89		23.47	1	2	4.0	323.91	4.362	0.87	0
CHEMBL1762	Cc1cccc(C)c1NC(=O)C(C)N	192.26	0.75		55.12	2	2	4.0	192.26	1.589	0.747	1
CHEMBL1763	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O	331.30	0.67		118.36	3	5	4.0	331.3	0.014	0.67	0
CHEMBL1764	COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2	328.48	0.80		15.71	0	4	4.0	328.48	4.496	0.803	0
CHEMBL584852	CCOC(=O)c1cnc2cc(OCC(C)C)c(OCC(C)C)cc2c1O	361.44	0.71		77.88	1	6	2.0	361.44	4.187	0.711	0
CHEMBL608856	NC(=O)Oc1ccc(Cc2ccccc2)cc1	227.26	0.88		52.32	1	2	2.0	227.26	2.735	0.876	1
CHEMBL531048	O=C1C(=O)c2ncccc2-c2cccnc21	210.19	0.62		59.92	0	4	2.0	210.19	1.523	0.618	1
CHEMBL580132	CC(CCCNCCO)Nc1ccnc2cc(Cl)ccc12	307.83	0.66		57.18	3	4	2.0	307.83	3.051	0.656	1
CHEMBL592752	Cc1ccc2c(c1)c1c(n2CCc2ccccc2)CCN(C)C1	304.44	0.70		8.17	0	2	2.0	304.44	4.18	0.705	0
CHEMBL589390	Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1	319.45	0.73		21.06	0	3	3.0	319.45	3.884	0.73	1
CHEMBL1766	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO	376.47	0.78		74.60	2	4	4.0	376.47	2.781	0.777	1
CHEMBL593430	C[C@H]1CC(CN)(CC(=O)O)C[C@@H]1C	185.27	0.70		63.32	2	2	2.0	185.27	1.472	0.7	1
CHEMBL593019	Cc1ncc(CO)c(CN)c1O	168.20	0.58		79.37	3	4	2.0	168.2	0.047	0.582	0
CHEMBL593262	O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccs2)cc1	285.31	0.68		102.20	1	6	2.0	285.31	1.852	0.682	0
CHEMBL595573	O=C1O[C@]2(CC[C@H](C(=O)Nc3ccn(-c4ccccc4F)n3)CC2)c2cnccc21	406.42	0.67		86.11	1	6	3.0	406.42	3.601	0.672	1
CHEMBL592943	CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2	316.43	0.88		55.56	1	5	3.0	316.43	3.065	0.881	1
CHEMBL596009	O=C(O)CCc1nc2ccccc2[nH]1	190.20	0.77		65.98	2	2	2.0	190.2	1.58	0.772	1
CHEMBL1769	CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl	330.86	0.56		64.79	1	5	4.0	330.86	2.978	0.557	1
CHEMBL1770	Cl.c1ccc([C@H]2CN3CCSC3=N2)cc1	240.76	0.70		15.60	0	3	4.0	240.76	2.568	0.75	1
CHEMBL592374	Clc1ccc([C@]23CNC[C@H]2C3)cc1Cl	228.12	0.78		12.03	1	1	2.0	228.12	2.854	0.779	1
CHEMBL596802	CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1	281.42	0.85		37.38	0	3	3.0	281.42	2.68	0.851	1
CHEMBL599870	C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1	383.90	0.51		118.36	3	6	2.0	383.9	0.937	0.514	0
CHEMBL590754	COc1ccc(/C(C)=N/OC(N)=O)cc1OC1CCCC1	292.34	0.51		83.14	1	5	2.0	292.34	2.836	0.514	1
