time_ns,rmsd_all_A,rmsd_dfg_region_A,rmsd_nlobe_A
74.700,13.181,7.502,11.324
74.800,13.356,7.674,11.582
74.900,12.975,7.442,10.900
75.000,12.953,7.228,10.679
75.100,12.794,7.220,10.466
75.200,12.797,7.084,10.646
75.300,12.608,7.226,10.396
75.400,12.627,7.037,10.736
75.500,12.766,7.242,10.866
75.600,12.917,7.443,11.060
75.700,12.514,7.013,10.515
75.800,12.787,6.919,11.221
75.900,12.843,7.086,10.952
76.000,13.038,7.364,11.108
76.100,12.885,7.331,11.189
76.200,12.643,6.984,10.678
76.300,12.445,6.794,10.403
76.400,12.636,7.046,10.635
76.500,12.363,6.780,10.184
76.600,12.271,6.799,10.176
76.700,12.124,6.761,9.966
76.800,11.861,6.346,9.385
76.900,12.040,6.443,9.646
77.000,11.985,6.395,9.559
77.100,11.898,6.302,9.346
77.200,12.252,6.526,10.009
77.300,11.990,6.331,9.484
77.400,11.976,6.441,9.771
77.500,11.794,6.144,9.396
77.600,11.996,6.405,9.740
77.700,11.917,6.337,9.482
77.800,12.351,7.048,10.170
77.900,12.286,6.604,9.858
78.000,12.587,6.853,10.076
78.100,12.329,6.467,9.756
78.200,12.236,6.615,9.842
78.300,12.051,6.612,9.625
78.400,11.917,6.602,9.537
78.500,11.924,6.515,9.352
78.600,11.954,6.458,9.386
78.700,11.878,6.379,9.578
78.800,12.156,6.679,9.959
78.900,11.894,6.326,9.369
79.000,12.045,6.379,9.498
79.100,12.189,6.470,9.867
79.200,12.389,6.613,10.038
79.300,12.053,6.465,9.494
79.400,11.881,6.304,9.324
79.500,11.624,5.860,8.881
79.600,11.534,5.809,8.719
79.700,11.655,6.167,9.059
79.800,11.713,6.078,9.165
79.900,11.981,6.633,9.651
80.000,12.208,6.597,9.971
80.100,12.355,6.574,10.313
80.200,12.602,7.065,10.486
80.300,12.617,6.882,10.577
80.400,12.487,6.920,10.507
80.500,12.455,6.881,10.379
80.600,12.306,6.766,10.386
80.700,12.513,7.016,10.601
80.800,12.674,7.062,10.728
80.900,12.533,6.739,10.633
81.000,12.665,6.879,10.884
81.100,12.252,6.556,10.414
81.200,11.993,6.481,9.863
81.300,11.936,6.524,9.821
81.400,12.283,6.716,10.318
81.500,12.658,6.971,10.578
81.600,12.775,7.128,10.664
81.700,12.660,6.943,10.603
81.800,12.447,7.017,10.275
81.900,12.411,6.957,10.447
82.000,12.279,6.780,9.999
82.100,12.558,7.109,10.608
82.200,12.605,7.290,10.945
82.300,12.461,7.138,10.736
82.400,12.662,7.160,10.819
82.500,12.519,7.056,10.372
82.600,12.583,6.962,10.662
82.700,12.908,7.329,11.392
82.800,13.091,7.503,11.516
82.900,12.966,7.397,11.163
83.000,12.839,7.220,11.041
83.100,12.906,7.242,11.084
83.200,12.623,7.044,10.828
83.300,12.837,7.015,11.095
83.400,12.916,7.246,11.161
83.500,12.391,6.739,10.528
83.600,12.585,7.084,10.832
83.700,12.449,6.633,10.630
83.800,12.580,6.922,10.790
83.900,12.688,6.957,11.005
84.000,12.608,6.937,10.877
84.100,12.918,7.093,11.244
84.200,12.975,7.195,11.097
84.300,12.736,7.205,10.932
84.400,12.323,6.502,10.210
84.500,12.161,6.677,10.087
84.600,11.842,6.037,9.558
84.700,11.784,6.049,9.743
84.800,11.860,6.187,9.740
84.900,11.808,6.302,9.683
85.000,12.014,6.255,9.979
85.100,11.718,5.945,9.362
85.200,11.872,6.228,9.584
85.300,12.207,6.414,10.062
85.400,11.940,6.144,9.704
85.500,11.944,6.269,9.690
85.600,11.924,6.590,9.874
85.700,11.779,6.278,9.428
85.800,11.702,6.299,9.436
85.900,11.749,5.904,9.597
86.000,11.313,5.844,8.976
86.100,11.269,5.882,8.667
86.200,11.248,5.670,8.868
86.300,11.125,5.693,9.013
