#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
44.0%,4400000,8800.000000875296,-1648542.467679483,254920.62676553693,-1393621.840913946,300.646245636977,1045.2132057683134,0.9752688559959105,213,1:15:47
44.5%,4450000,8900.000000895669,-1645414.0347817019,255182.73570470928,-1390231.2990769926,300.9553695768868,1045.2132057683134,0.9752688559959105,213,1:15:07
45.0%,4500000,9000.000000916041,-1647498.8778539756,254825.48981956398,-1392673.3880344117,300.53404378814645,1045.2132057683134,0.9752688559959105,213,1:14:26
45.5%,4550000,9100.000000936414,-1646948.6631110795,254493.49049620147,-1392455.172614878,300.14249308709327,1045.2132057683134,0.9752688559959105,213,1:13:46
46.0%,4600000,9200.000000956787,-1646829.0735908793,254175.8833463161,-1392653.1902445632,299.7679161122441,1045.2132057683134,0.9752688559959105,213,1:13:05
46.5%,4650000,9300.00000097716,-1649024.8115521455,254471.83997716894,-1394552.9715749766,300.116959071483,1045.2132057683134,0.9752688559959105,213,1:12:24
47.0%,4700000,9400.000000997532,-1648282.9888931802,255730.78631660767,-1392552.2025765725,301.6017251149887,1045.2132057683134,0.9752688559959105,213,1:11:44
47.5%,4750000,9500.000001017905,-1645503.989924877,255709.89209616304,-1389794.097828714,301.5770830567454,1045.2132057683134,0.9752688559959105,213,1:11:03
48.0%,4800000,9600.000001038277,-1646324.3420535652,253684.99185123862,-1392639.3502023267,299.18897243521513,1045.2132057683134,0.9752688559959105,213,1:10:23
48.5%,4850000,9700.00000105865,-1647719.8658259725,252947.08683104324,-1394772.7789949293,298.31870792671594,1045.2132057683134,0.9752688559959105,213,1:09:42
49.0%,4900000,9800.000001079023,-1650320.5468909582,255894.64809575025,-1394425.898795208,301.79497910674166,1045.2132057683134,0.9752688559959105,213,1:09:02
