Gene	gene_name	uniprot_primary	sc_ntpm	cortex_ntpm	skm_ntpm	heart_ntpm	description	protein_class
ENSG00000165966	PDZRN4	Q6ZMN7	1.5	2.5	0.4	0.4	PDZ domain containing ring finger 4	Predicted intracellular proteins
ENSG00000124613	ZNF391	Q9UJN7	1.5	2.9	0.5	1.0	Zinc finger protein 391	Predicted intracellular proteins, Transcription factors
ENSG00000127720	METTL25	Q8N6Q8	1.5	0.9	4.3	4.4	Methyltransferase like 25	Predicted intracellular proteins
ENSG00000188566	NDOR1	Q9UHB4	1.5	4.1	2.7	2.6	NADPH dependent diflavin oxidoreductase 1	Essential proteins, Predicted intracellular proteins
ENSG00000102174	PHEX	P78562	1.5	0.7	0.0	0.0	Phosphate regulating endopeptidase X-linked	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000184206	GOLGA6L4	A6NEF3	1.5	1.9	4.0	3.6	Golgin A6 family like 4	Predicted intracellular proteins
ENSG00000175267	VWA3A	A6NCI4	1.5	8.7	0.1	0.8	Von Willebrand factor A domain containing 3A	Predicted intracellular proteins, Predicted secreted proteins
ENSG00000217442	SYCE3	A1L190	1.5	1.8	0.1	0.2	Synaptonemal complex central element protein 3	Predicted intracellular proteins
ENSG00000179593	ALOX15B	O15296	1.5	0.7	0.3	0.7	Arachidonate 15-lipoxygenase type B	Enzymes, Metabolic proteins, Predicted intracellular proteins
ENSG00000148600	CDHR1	Q96JP9	1.5	12.2	1.0	1.1	Cadherin related family member 1	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000136319	TTC5	Q8N0Z6	1.5	1.7	0.7	1.7	Tetratricopeptide repeat domain 5	Disease related genes, Human disease related genes, Predicted intracellular proteins
ENSG00000129534	MIS18BP1	Q6P0N0	1.5	2.9	1.3	3.6	MIS18 binding protein 1	Essential proteins, Predicted intracellular proteins
ENSG00000102034	ELF4	Q99607	1.5	1.0	1.8	4.9	E74 like ETS transcription factor 4	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000135917	SLC19A3	Q9BZV2	1.5	1.4	0.7	0.6	Solute carrier family 19 member 3	Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters
ENSG00000204186	ZDBF2	Q9HCK1	1.5	3.1	2.5	2.2	Zinc finger DBF-type containing 2	Predicted intracellular proteins
ENSG00000107443	CCNJ	Q5T5M9	1.5	2.2	3.5	2.1	Cyclin J	Predicted intracellular proteins
ENSG00000174498	IGDCC3	Q8IVU1	1.5	2.3	0.1	0.1	Immunoglobulin superfamily DCC subclass member 3	Predicted intracellular proteins, Predicted membrane proteins
ENSG00000167562	ZNF701	Q9NV72	1.5	1.4	2.0	2.6	Zinc finger protein 701	Predicted intracellular proteins, Transcription factors
ENSG00000152763	DNAI4	Q5VTH9	1.5	1.1	0.4	1.1	Dynein axonemal intermediate chain 4	Predicted intracellular proteins
ENSG00000198780	FAM169A	Q9Y6X4	1.5	14.7	0.1	1.3	Family with sequence similarity 169 member A	Predicted intracellular proteins
ENSG00000095587	TLL2	Q9Y6L7	1.5	1.1	0.8	3.7	Tolloid like 2	Predicted secreted proteins
ENSG00000131697	NPHP4	O75161	1.5	3.4	2.1	2.0	Nephrocystin 4	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
ENSG00000148482	SLC39A12	Q504Y0	1.5	30.6	0.0	0.0	Solute carrier family 39 member 12	Predicted membrane proteins, Transporters
ENSG00000214652	ZNF727	A8MUV8	1.5	1.4	0.7	0.9	Zinc finger protein 727	Predicted intracellular proteins, Transcription factors
ENSG00000177076	ACER2	Q5QJU3	1.5	1.6	1.2	3.1	Alkaline ceramidase 2	Enzymes, Metabolic proteins, Predicted membrane proteins
ENSG00000165643	SOHLH1	Q5JUK2	1.5	46.2	0.0	0.0	Spermatogenesis and oogenesis specific basic helix-loop-helix 1	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000079150	FKBP7	Q9Y680	1.5	1.2	4.3	11.7	FKBP prolyl isomerase 7	Enzymes, Metabolic proteins, Predicted intracellular proteins
ENSG00000128510	CPA4	Q9UI42	1.5	0.3	0.3	1.0	Carboxypeptidase A4	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
ENSG00000164438	TLX3	O43711	1.5	0.0	0.0	0.0	T cell leukemia homeobox 3	Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000186710	CFAP73	A6NFT4	1.5	0.5	0.3	0.1	Cilia and flagella associated protein 73	Predicted intracellular proteins
ENSG00000140057	AK7	Q96M32	1.5	1.4	0.2	0.7	Adenylate kinase 7	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins
ENSG00000168014	C2CD3	Q4AC94	1.5	5.1	3.7	2.7	C2 domain containing 3 centriole elongation regulator	Disease related genes, Human disease related genes, Predicted intracellular proteins
ENSG00000124602	UNC5CL	Q8IV45	1.5	0.8	0.7	1.1	Unc-5 family C-terminal like	Predicted intracellular proteins
ENSG00000188488	SERPINA5	P05154	1.5	0.8	43.4	18.2	Serpin family A member 5	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins
ENSG00000169946	ZFPM2	Q8WW38	1.5	4.0	16.8	9.6	Zinc finger protein, FOG family member 2	Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors
ENSG00000112773	TENT5A	Q96IP4	1.5	1.9	2.0	20.1	Terminal nucleotidyltransferase 5A	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins
ENSG00000139572	GPR84	Q9NQS5	1.5	0.6	0.0	0.6	G protein-coupled receptor 84	G-protein coupled receptors, Predicted membrane proteins
