geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC000123.4,0.0,,,,,
AC000124.1,0.0,,,,,
AC000362.1,0.0,,,,,
AC000367.1,0.0,,,,,
AC000370.2,0.0,,,,,
AC000374.1,0.0,,,,,
AC000403.1,0.0,,,,,
AC000403.4,29.17345672287942,1.3689388357833423,0.47726503667733944,2.8682990174887446,0.004126853018924264,0.016490035852459478
AC001226.7,0.8149099265153238,0.6472064594966964,1.7606103824638333,0.36760345499666014,0.7131689382396379,
AC002044.1,0.22016543344573608,0.9838681762476057,3.8968344634295247,0.25247882235719177,0.8006709813046096,
AC002044.3,0.2796694695211297,-0.4588143613978259,3.706152491059232,-0.12379802571660915,0.9014751950398333,
AC002044.4,0.0,,,,,
AC002056.3,3.0404778384820963,0.8048412177373682,1.2191911507450632,0.66014358556123,0.5091616908901901,
AC002056.5,0.0,,,,,
AC002059.10,0.09739041142986309,0.5029727146496928,3.945759503654211,0.1274717108794604,0.898567061955097,
AC002064.4,0.0,,,,,
AC002064.5,0.09739041142986309,0.5029727146496928,3.945759503654211,0.1274717108794604,0.898567061955097,
AC002064.7,0.0,,,,,
AC002066.1,0.0,,,,,
AC002066.2,0.0,,,,,
AC002069.5,0.2179389407199668,0.9838681762476064,3.8968344634295247,0.25247882235719193,0.8006709813046095,
AC002069.6,0.0,,,,,
AC002070.1,0.0,,,,,
AC002072.1,0.0,,,,,
AC002075.3,0.0,,,,,
AC002075.4,1.0692955439521508,0.06758911389329915,1.4127458176757524,0.047842374082902386,0.9618418655683334,
AC002076.10,4.6536657494639275,0.5939526238731643,0.6716142281396678,0.8843657549042377,0.3764988029091043,0.539497739392108
AC002115.5,0.0,,,,,
AC002115.9,0.0,,,,,
AC002116.7,3.480789702531766,0.01088763374105224,0.85107847204711,0.012792749550889326,0.9897931410435199,
AC002116.8,13.154253320309248,0.14801190515982057,0.5092773047140523,0.29063126078811996,0.7713333489371368,0.8601798380416166
AC002117.1,3.0002324272319205,0.9547939957443193,0.9148011564967807,1.0437175215220438,0.29661610085093526,
