,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NUSAP1,1442.6071461669635,1.262733087753398,0.41412954922428385,3.0491257871326836,0.0022950836355795485,0.032222774381391525
NDUFAF1,304.5000899615445,-0.043629382252596764,0.12218271140495669,-0.3570831073472709,0.7210295903432327,0.8612557562740336
RTF1,4291.584780686503,0.1179255036692938,0.07041235237439389,1.6747843196924423,0.09397655649655105,0.28502342664034697
ITPKA,93.05070462315236,-0.3686574142756866,0.6771487783563694,-0.5444260198925882,0.5861483444345155,0.7769125654570922
LTK,746.3163961393165,0.3064011777161656,1.052498787984545,0.2911178437581866,0.7709611933292154,0.8907605976315516
RPAP1,1495.1006424248874,0.10523909309399868,0.09419077881896167,1.1172971963239873,0.26386727386843534,0.512040135158738
TYRO3,1505.4433612670005,0.44268384990798204,0.1586726817453626,2.78991849786972,0.005272131130261198,0.0537407381333843
MGA,7613.248281581081,0.14706527810750195,0.10632808187357379,1.3831273499541308,0.1666258208887187,0.3947238590344117
MAPKBP1,2807.5340694240604,-0.3882259395299537,0.18771299388919285,-2.068188948918069,0.03862225902610213,0.17130326579046262
JMJD7,209.96510982921959,-0.31063669295514323,0.21135680123140865,-1.4697265058200601,0.141635840977684,0.36141237343646165
SPTBN5,336.11824432083995,-0.2742832687824372,0.31994313281682635,-0.8572875634729428,0.39128597994207326,0.6345523766923128
EHD4,577.8493818493727,0.09960468597980117,0.3428512641751402,0.29051864871911237,0.7714194860738766,0.8909176693571688
EHD4-AS1,21.654742686461482,-0.7271139632275956,0.4062266312320522,-1.7899219483033848,0.07346645988178158,0.24710530111872822
PLA2G4E,11.499602745746937,0.31901803336091045,0.7394150855357944,0.43144647654807294,0.6661437623317708,0.8288466144152412
PLA2G4D,10.7286150182474,1.1863330043837566,0.8033783122779867,1.4766803960887347,0.13976132954674442,0.35913548237293613
PLA2G4F,6.548560460057837,-0.07937290555542917,1.0555995924277604,-0.0751922472543594,0.9400617526881784,0.9723529947517765
VPS39,3120.0675816275802,-0.1015254139818242,0.14692183299728087,-0.6910165215792207,0.489555158463167,0.7107475816449883
TMEM87A,1385.023631457089,-0.21290979132232965,0.1298940948362403,-1.6391029291265986,0.10119182513609838,0.2973057313451929
